,0
rolling_mean_7,106792062.01506186
lag_21,23246907.01162073
rolling_mean_14,15324474.392410249
rolling_max_7,8273223.097367287
lag_56,3771406.522626817
store_family_mean_log,2118196.3410329223
rolling_mean_28,2060437.053966552
lag_49,1573387.0293565989
family_mean_log,1173542.8794561923
lag_16,1026367.6608661711
days_since_promo,904851.0464113951
transactions_lag,727719.7480415702
lag_28,712400.1157698929
day_of_year,711030.7404381633
rolling_std_28,642170.2833850682
onpromotion,607895.4479984939
oil_roll7,545296.6087568104
sin_annual,535516.8796563447
cos_annual,523908.08840823174
family,521676.4112819731
rolling_min_7,426950.79110088944
year,412848.07263216376
day_of_week,340736.6971409619
month,334951.4937878847
lag_42,328155.43842357397
oil_lag1,276298.0733703077
is_month_start,248533.1762482524
transactions_roll7,215535.24270433187
lag_35,196846.2356349826
oil_lag7,188311.85807326436
rolling_min_14,172837.04011151195
transactions_roll14,153152.16626867652
week,135330.5999136269
store_mean_log,127902.07790496945
sin_weekly,84219.07632932067
cos_weekly,83290.69313278794
rolling_std_14,79707.1266336739
rolling_std_7,68418.14048418403
rolling_max_28,67821.80517232418
promo_count_14,48393.4009026885
store_nbr,46686.35431793332
rolling_min_28,45219.35163247585
is_weekend,43812.261725217104
oil_change,35449.98846876621
quarter,35020.82077169418
holiday_streak,33454.50198632479
promo_count_7,26158.164284408092
cluster,23138.694004952908
rolling_max_14,22095.99651774764
city,19472.95906382799
is_month_end,16353.693322181702
type,15499.898419380188
state,12266.641333431005
is_national_holiday,5241.684774816036
is_any_holiday,4877.20621919632
is_payday,3931.2444837093353
pre_holiday_2,3503.7205082774162
pre_holiday_1,1304.1870867013931
post_holiday_1,1129.2202821969986
post_holiday_2,798.2591170072556
is_local_holiday,787.754623323679
pre_holiday_3,753.4110643863678
post_holiday_3,622.7026045322418
is_regional_holiday,9.02351301908493
