store_nbr,rmsle,mae,n
19,0.4874959313275555,34.2022303176427,528
20,0.47556337554764094,103.62611502176578,528
22,0.46474683711389647,49.52312146279735,528
14,0.45280209660583653,50.655735079391405,528
26,0.4511164392209889,29.638566706468048,528
36,0.4478737438874257,78.92460047103815,528
34,0.44121922024439075,43.204637072622916,528
38,0.4390775879021334,81.25475542275451,528
9,0.4379191595557376,80.36664534370007,528
50,0.42770104109970836,91.2481251477199,528
30,0.42662249280402953,42.30083180162192,528
43,0.426176747030657,64.33551405501504,528
16,0.42436938909447064,33.3563831311326,528
25,0.41996879839436746,47.481898719420144,528
54,0.4193274176023443,70.28744309209246,528
32,0.41783728075349713,39.17964352237589,528
35,0.41152860948139913,25.992333455850808,528
40,0.40746311160438836,109.35580194490932,528
12,0.4069740682275615,35.56204528486671,528
39,0.40498079971969175,89.83561534417453,528
48,0.4002259527425557,107.32672393228013,528
17,0.3994725121247303,40.219512951053616,528
23,0.39909072698407155,33.7884016672188,528
11,0.39862226181583565,82.05784629113427,528
10,0.3985797928143646,38.07977438972047,528
13,0.39634548936630243,34.90957061029707,528
53,0.3951792754669399,41.640866475105184,528
15,0.39387968429488035,30.952303385610378,528
21,0.3938511828340838,74.11049253616632,528
31,0.3936815635996629,68.43734903356594,528
28,0.39170563397521,82.18205049027998,528
18,0.39037429838792853,31.88174128581823,528
33,0.3868896352673256,45.376983118284734,528
41,0.382087783685444,78.60720578546962,528
44,0.3765505369453454,149.65981851474973,528
1,0.3712977208598537,37.93195927794075,528
47,0.36942233691612497,126.63727561331991,528
42,0.36269123044469725,66.14924015998872,528
29,0.36160982414340087,45.045983185839866,528
37,0.35976668991662186,55.290852754176974,528
51,0.35945496996417226,68.77117288391649,528
2,0.35800086654562624,54.56448474348872,528
45,0.351470230476362,132.2589518872471,528
5,0.35124499190180214,32.63518553661759,528
27,0.34526189999294365,48.25220406565083,528
49,0.3450821896377813,98.15620917790787,528
24,0.3437815949431069,48.07136944010539,528
46,0.34274240254872257,114.87197309325606,528
7,0.341431875433052,59.384322800505124,528
8,0.34101216232426773,56.29959087396455,528
4,0.3383311504591849,46.767527447910965,528
52,0.3268748355180384,80.6354158188754,528
6,0.3073572902273648,47.841600895075054,528
3,0.30443575082028224,86.75043254262721,528
